Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,1999-05-31,,Örebro SK,Trelleborgs FF,1,0,H,,,
SWE,1999-06-08,,Västra Frölunda,Hammarby IF,1,1,D,,,
SWE,1999-06-08,,AIK Solna,IFK Göteborg,2,0,H,,,
SWE,1999-06-09,,Malmö FF,IFK Norrköping,0,0,D,,,
SWE,1999-06-09,,Halmstads BK,Örebro SK,5,1,H,,,
SWE,1999-06-09,,IF Elfsborg,Djurgårdens IF,2,1,H,,,
SWE,1999-06-09,,Örgryte IS,Kalmar FF,3,0,H,,,
SWE,1999-06-10,,Trelleborgs FF,Helsingborgs IF,2,3,A,,,
SWE,1999-06-13,,Kalmar FF,Halmstads BK,2,0,H,,,
SWE,1999-06-13,,Hammarby IF,Örgryte IS,0,0,D,,,
SWE,1999-06-13,,Örebro SK,Malmö FF,2,0,H,,,
SWE,1999-06-14,,IFK Norrköping,Trelleborgs FF,2,5,A,,,
SWE,1999-06-14,,IFK Göteborg,Västra Frölunda,1,0,H,,,
SWE,1999-06-14,,AIK Solna,Djurgårdens IF,3,1,H,,,
SWE,1999-06-15,,Helsingborgs IF,IF Elfsborg,1,1,D,,,
SWE,1999-06-16,,Örebro SK,Hammarby IF,3,1,H,,,
SWE,1999-06-17,,Halmstads BK,Djurgårdens IF,4,1,H,,,
SWE,1999-06-20,,Kalmar FF,IFK Norrköping,1,1,D,,,
SWE,1999-06-20,,Örgryte IS,Helsingborgs IF,0,1,A,,,
SWE,1999-06-21,,Västra Frölunda,Trelleborgs FF,2,1,H,,,
SWE,1999-06-21,,IF Elfsborg,AIK Solna,2,2,D,,,
SWE,1999-06-22,,Malmö FF,IFK Göteborg,1,1,D,,,
SWE,1999-06-23,,Helsingborgs IF,Halmstads BK,1,0,H,,,
SWE,1999-06-23,,Hammarby IF,Kalmar FF,2,2,D,,,
SWE,1999-06-27,,Trelleborgs FF,Örgryte IS,0,0,D,,,
SWE,1999-06-28,,IFK Norrköping,AIK Solna,0,1,A,,,
SWE,1999-06-28,,IF Elfsborg,Västra Frölunda,2,3,A,,,
SWE,1999-06-29,,Djurgårdens IF,Malmö FF,4,1,H,,,
SWE,1999-06-30,,IFK Göteborg,Örebro SK,0,1,A,,,
SWE,1999-06-30,,Trelleborgs FF,Halmstads BK,1,1,D,,,
SWE,1999-07-01,,Hammarby IF,IFK Norrköping,3,0,H,,,
SWE,1999-07-01,,Örgryte IS,IF Elfsborg,5,1,H,,,
SWE,1999-07-04,,Kalmar FF,IFK Göteborg,0,1,A,,,
SWE,1999-07-05,,Västra Frölunda,AIK Solna,0,1,A,,,
SWE,1999-07-05,,Djurgårdens IF,Örebro SK,0,1,A,,,
SWE,1999-07-06,,Malmö FF,Helsingborgs IF,0,4,A,,,
SWE,1999-07-11,,Malmö FF,Djurgårdens IF,2,0,H,,,
SWE,1999-07-11,,Halmstads BK,Helsingborgs IF,4,0,H,,,
SWE,1999-07-14,,Kalmar FF,Hammarby IF,4,1,H,,,
SWE,1999-07-18,,Örgryte IS,Trelleborgs FF,2,0,H,,,
SWE,1999-07-19,,Västra Frölunda,IF Elfsborg,4,4,D,,,
SWE,1999-07-19,,AIK Solna,IFK Norrköping,2,0,H,,,
SWE,1999-07-28,,Örebro SK,IFK Göteborg,1,2,A,,,
SWE,1999-07-31,,AIK Solna,IF Elfsborg,3,0,H,,,
SWE,1999-08-01,,Trelleborgs FF,Västra Frölunda,1,0,H,,,
SWE,1999-08-01,,IFK Norrköping,Kalmar FF,4,2,H,,,
SWE,1999-08-02,,Helsingborgs IF,Örgryte IS,2,0,H,,,
SWE,1999-08-02,,Hammarby IF,Örebro SK,2,1,H,,,
SWE,1999-08-02,,IFK Göteborg,Malmö FF,1,0,H,,,
SWE,1999-08-03,,Djurgårdens IF,Halmstads BK,0,2,A,,,
SWE,1999-08-07,,Västra Frölunda,Helsingborgs IF,0,0,D,,,
SWE,1999-08-07,,AIK Solna,Trelleborgs FF,3,0,H,,,
SWE,1999-08-08,,Halmstads BK,IFK Göteborg,4,0,H,,,
SWE,1999-08-08,,Örebro SK,Kalmar FF,2,0,H,,,
SWE,1999-08-09,,Malmö FF,Hammarby IF,2,0,H,,,
SWE,1999-08-09,,IF Elfsborg,IFK Norrköping,2,1,H,,,
SWE,1999-08-09,,Örgryte IS,Djurgårdens IF,0,1,A,,,
SWE,1999-08-15,,IFK Norrköping,Örebro SK,1,0,H,,,
SWE,1999-08-15,,Kalmar FF,Malmö FF,1,0,H,,,
SWE,1999-08-15,,Helsingborgs IF,AIK Solna,0,2,A,,,
SWE,1999-08-15,,Hammarby IF,Halmstads BK,1,0,H,,,
SWE,1999-08-15,,IFK Göteborg,Örgryte IS,1,0,H,,,
SWE,1999-08-15,,Djurgårdens IF,Västra Frölunda,1,1,D,,,
SWE,1999-08-19,,Trelleborgs FF,IF Elfsborg,1,2,A,,,
SWE,1999-08-21,,Helsingborgs IF,Malmö FF,1,0,H,,,
SWE,1999-08-21,,AIK Solna,Västra Frölunda,1,0,H,,,
SWE,1999-08-22,,IFK Göteborg,Kalmar FF,2,0,H,,,
SWE,1999-08-22,,IF Elfsborg,Örgryte IS,1,2,A,,,
SWE,1999-08-23,,IFK Norrköping,Hammarby IF,3,2,H,,,
SWE,1999-08-23,,Halmstads BK,Trelleborgs FF,2,2,D,,,
SWE,1999-08-23,,Örebro SK,Djurgårdens IF,1,1,D,,,
SWE,1999-08-29,,Trelleborgs FF,IFK Norrköping,0,4,A,,,
SWE,1999-08-29,,Halmstads BK,Kalmar FF,1,0,H,,,
SWE,1999-08-29,,Örgryte IS,Hammarby IF,2,1,H,,,
SWE,1999-08-30,,Västra Frölunda,IFK Göteborg,1,2,A,,,
SWE,1999-08-30,,Malmö FF,Örebro SK,3,1,H,,,
SWE,1999-08-30,,IF Elfsborg,Helsingborgs IF,1,1,D,,,
SWE,1999-08-30,,Djurgårdens IF,AIK Solna,0,0,D,,,
SWE,1999-09-11,,Helsingborgs IF,Trelleborgs FF,5,3,H,,,
SWE,1999-09-11,,IFK Göteborg,AIK Solna,1,0,H,,,
SWE,1999-09-12,,Kalmar FF,Örgryte IS,2,2,D,,,
SWE,1999-09-13,,IFK Norrköping,Malmö FF,5,1,H,,,
SWE,1999-09-13,,Hammarby IF,Västra Frölunda,1,2,A,,,
SWE,1999-09-13,,Djurgårdens IF,IF Elfsborg,1,2,A,,,
SWE,1999-09-13,,Örebro SK,Halmstads BK,1,2,A,,,
SWE,1999-09-18,,AIK Solna,Hammarby IF,2,0,H,,,
SWE,1999-09-19,,Västra Frölunda,Kalmar FF,2,0,H,,,
SWE,1999-09-19,,Trelleborgs FF,Djurgårdens IF,2,2,D,,,
SWE,1999-09-19,,Halmstads BK,Malmö FF,2,1,H,,,
SWE,1999-09-20,,Helsingborgs IF,IFK Norrköping,0,1,A,,,
SWE,1999-09-20,,IF Elfsborg,IFK Göteborg,0,1,A,,,
SWE,1999-09-20,,Örgryte IS,Örebro SK,1,1,D,,,
SWE,1999-09-25,,Kalmar FF,AIK Solna,1,3,A,,,
SWE,1999-09-25,,Djurgårdens IF,Helsingborgs IF,2,4,A,,,
SWE,1999-09-26,,IFK Göteborg,Trelleborgs FF,2,1,H,,,
SWE,1999-09-27,,IFK Norrköping,Halmstads BK,4,0,H,,,
SWE,1999-09-27,,Malmö FF,Örgryte IS,1,1,D,,,
SWE,1999-09-27,,Hammarby IF,IF Elfsborg,2,1,H,,,
SWE,1999-09-27,,Örebro SK,Västra Frölunda,0,1,A,,,
SWE,1999-10-03,,Trelleborgs FF,Örebro SK,2,1,H,,,
SWE,1999-10-03,,AIK Solna,Halmstads BK,0,1,A,,,
SWE,1999-10-04,,Västra Frölunda,Örgryte IS,2,1,H,,,
SWE,1999-10-04,,Helsingborgs IF,Kalmar FF,3,0,H,,,
SWE,1999-10-04,,Hammarby IF,Djurgårdens IF,2,1,H,,,
SWE,1999-10-04,,IFK Göteborg,IFK Norrköping,2,3,A,,,
SWE,1999-10-04,,IF Elfsborg,Malmö FF,5,2,H,,,
SWE,1999-10-12,,Örebro SK,Helsingborgs IF,0,1,A,,,
SWE,1999-10-16,,Örgryte IS,AIK Solna,1,1,D,,,
SWE,1999-10-17,,Halmstads BK,IF Elfsborg,3,0,H,,,
SWE,1999-10-18,,IFK Norrköping,Västra Frölunda,2,1,H,,,
SWE,1999-10-18,,Malmö FF,Trelleborgs FF,1,2,A,,,
SWE,1999-10-18,,Kalmar FF,Djurgårdens IF,0,0,D,,,
SWE,1999-10-18,,Hammarby IF,IFK Göteborg,2,1,H,,,
SWE,1999-10-23,,AIK Solna,Malmö FF,3,0,H,,,
SWE,1999-10-24,,Västra Frölunda,Halmstads BK,0,0,D,,,
SWE,1999-10-24,,Trelleborgs FF,Kalmar FF,1,0,H,,,
SWE,1999-10-24,,Helsingborgs IF,Hammarby IF,2,0,H,,,
SWE,1999-10-24,,IF Elfsborg,Örebro SK,3,1,H,,,
SWE,1999-10-24,,Djurgårdens IF,IFK Göteborg,2,0,H,,,
SWE,1999-10-24,,Örgryte IS,IFK Norrköping,3,1,H,,,
SWE,1999-10-30,,IFK Norrköping,Djurgårdens IF,1,1,D,,,
SWE,1999-10-30,,Malmö FF,Västra Frölunda,2,1,H,,,
SWE,1999-10-30,,Kalmar FF,IF Elfsborg,0,1,A,,,
SWE,1999-10-30,,Hammarby IF,Trelleborgs FF,4,0,H,,,
SWE,1999-10-30,,Halmstads BK,Örgryte IS,0,0,D,,,
SWE,1999-10-30,,IFK Göteborg,Helsingborgs IF,0,1,A,,,
SWE,1999-10-30,,Örebro SK,AIK Solna,0,2,A,,,
